state,year,value
Chandigarh,2004,105.3
Chandigarh,2005,88.9
Chandigarh,2006,76.8
Chandigarh,2007,95.9
Chandigarh,2008,96.2
Chandigarh,2009,115.0
Chandigarh,2010,131.1
Chandigarh,2011,121.6
Chandigarh,2012,115.5
Chandigarh,2013,127.5
Chandigarh,2014,120.0
Delhi,2004,59.9
Delhi,2005,62.4
Delhi,2006,67.4
Delhi,2007,70.8
Delhi,2008,66.9
Delhi,2009,68.9
Delhi,2010,74.6
Delhi,2011,86.8
Delhi,2012,95.6
Delhi,2013,97.7
Delhi,2014,103.7
Haryana,2004,47.6
Haryana,2005,51.4
Haryana,2006,57.4
Haryana,2007,56.9
Haryana,2008,60.1
Haryana,2009,61.4
Haryana,2010,63.3
Haryana,2011,71.7
Haryana,2012,79.4
Haryana,2013,76.5
Haryana,2014,78.1
Himachal Pradesh,2004,29.7
Himachal Pradesh,2005,36.3
Himachal Pradesh,2006,41.0
Himachal Pradesh,2007,42.8
Himachal Pradesh,2008,43.4
Himachal Pradesh,2009,38.6
Himachal Pradesh,2010,42.2
Himachal Pradesh,2011,41.6
Himachal Pradesh,2012,38.9
Himachal Pradesh,2013,35.1
Himachal Pradesh,2014,35.8
Jammu & Kashmir,2004,37.4
Jammu & Kashmir,2005,46.7
Jammu & Kashmir,2006,47.2
Jammu & Kashmir,2007,62.5
Jammu & Kashmir,2008,56.4
Jammu & Kashmir,2009,47.2
Jammu & Kashmir,2010,46.4
Jammu & Kashmir,2011,38.1
Jammu & Kashmir,2012,33.8
Jammu & Kashmir,2013,36.9
Jammu & Kashmir,2014,40.1
Ladakh,2004,
Ladakh,2005,
Ladakh,2006,
Ladakh,2007,
Ladakh,2008,
Ladakh,2009,
Ladakh,2010,
Ladakh,2011,
Ladakh,2012,
Ladakh,2013,
Ladakh,2014,
Punjab,2004,43.1
Punjab,2005,50.1
Punjab,2006,56.8
Punjab,2007,65.6
Punjab,2008,67.2
Punjab,2009,65.7
Punjab,2010,71.5
Punjab,2011,77.8
Punjab,2012,80.9
Punjab,2013,81.6
Punjab,2014,79.1
Rajasthan,2004,55.7
Rajasthan,2005,68.7
Rajasthan,2006,77.3
Rajasthan,2007,82.9
Rajasthan,2008,82.4
Rajasthan,2009,80.6
Rajasthan,2010,88.4
Rajasthan,2011,90.4
Rajasthan,2012,90.9
Rajasthan,2013,92.6
Rajasthan,2014,87.1
Arunachal Pradesh,2004,16.1
Arunachal Pradesh,2005,22.0
Arunachal Pradesh,2006,26.5
Arunachal Pradesh,2007,28.0
Arunachal Pradesh,2008,31.7
Arunachal Pradesh,2009,25.5
Arunachal Pradesh,2010,27.5
Arunachal Pradesh,2011,23.7
Arunachal Pradesh,2012,23.9
Arunachal Pradesh,2013,21.8
Arunachal Pradesh,2014,23.7
Assam,2004,31.8
Assam,2005,35.3
Assam,2006,42.6
Assam,2007,42.8
Assam,2008,42.4
Assam,2009,38.5
Assam,2010,37.8
Assam,2011,36.5
Assam,2012,37.7
Assam,2013,37.2
Assam,2014,37.7
Manipur,2004,31.6
Manipur,2005,42.4
Manipur,2006,50.1
Manipur,2007,55.1
Manipur,2008,48.4
Manipur,2009,36.0
Manipur,2010,42.1
Manipur,2011,34.8
Manipur,2012,31.3
Manipur,2013,28.6
Manipur,2014,33.6
Meghalaya,2004,34.6
Meghalaya,2005,43.6
Meghalaya,2006,48.1
Meghalaya,2007,35.7
Meghalaya,2008,33.2
Meghalaya,2009,28.3
Meghalaya,2010,25.6
Meghalaya,2011,24.4
Meghalaya,2012,25.8
Meghalaya,2013,24.0
Meghalaya,2014,27.4
Mizoram,2004,34.8
Mizoram,2005,47.8
Mizoram,2006,51.2
Mizoram,2007,53.8
Mizoram,2008,62.9
Mizoram,2009,57.9
Mizoram,2010,53.2
