state,year,value
Chandigarh,2004,107.0
Chandigarh,2005,97.0
Chandigarh,2006,85.8
Chandigarh,2007,101.1
Chandigarh,2008,95.8
Chandigarh,2009,119.9
Chandigarh,2010,133.7
Chandigarh,2011,119.8
Chandigarh,2012,114.5
Chandigarh,2013,123.1
Chandigarh,2014,122.4
Delhi,2004,57.9
Delhi,2005,62.5
Delhi,2006,68.0
Delhi,2007,69.6
Delhi,2008,64.4
Delhi,2009,68.8
Delhi,2010,70.6
Delhi,2011,80.8
Delhi,2012,93.8
Delhi,2013,94.9
Delhi,2014,105.1
Haryana,2004,59.6
Haryana,2005,63.2
Haryana,2006,69.6
Haryana,2007,68.4
Haryana,2008,67.2
Haryana,2009,74.0
Haryana,2010,76.1
Haryana,2011,85.6
Haryana,2012,94.5
Haryana,2013,86.0
Haryana,2014,88.5
Himachal Pradesh,2004,42.7
Himachal Pradesh,2005,50.9
Himachal Pradesh,2006,53.0
Himachal Pradesh,2007,51.1
Himachal Pradesh,2008,51.3
Himachal Pradesh,2009,47.1
Himachal Pradesh,2010,51.0
Himachal Pradesh,2011,48.6
Himachal Pradesh,2012,45.0
Himachal Pradesh,2013,41.6
Himachal Pradesh,2014,37.8
Jammu & Kashmir,2004,41.7
Jammu & Kashmir,2005,50.9
Jammu & Kashmir,2006,52.7
Jammu & Kashmir,2007,60.9
Jammu & Kashmir,2008,56.3
Jammu & Kashmir,2009,47.3
Jammu & Kashmir,2010,47.8
Jammu & Kashmir,2011,35.7
Jammu & Kashmir,2012,34.1
Jammu & Kashmir,2013,37.2
Jammu & Kashmir,2014,40.4
Ladakh,2004,
Ladakh,2005,
Ladakh,2006,
Ladakh,2007,
Ladakh,2008,
Ladakh,2009,
Ladakh,2010,
Ladakh,2011,
Ladakh,2012,
Ladakh,2013,
Ladakh,2014,
Punjab,2004,45.7
Punjab,2005,49.7
Punjab,2006,56.3
Punjab,2007,65.3
Punjab,2008,76.1
Punjab,2009,65.5
Punjab,2010,73.0
Punjab,2011,92.9
Punjab,2012,83.2
Punjab,2013,78.9
Punjab,2014,81.3
Rajasthan,2004,62.8
Rajasthan,2005,76.5
Rajasthan,2006,86.0
Rajasthan,2007,90.9
Rajasthan,2008,100.0
Rajasthan,2009,87.5
Rajasthan,2010,96.6
Rajasthan,2011,95.8
Rajasthan,2012,96.1
Rajasthan,2013,102.9
Rajasthan,2014,91.4
Arunachal Pradesh,2004,25.2
Arunachal Pradesh,2005,30.0
Arunachal Pradesh,2006,41.6
Arunachal Pradesh,2007,46.0
Arunachal Pradesh,2008,57.7
Arunachal Pradesh,2009,33.9
Arunachal Pradesh,2010,34.4
Arunachal Pradesh,2011,27.4
Arunachal Pradesh,2012,28.4
Arunachal Pradesh,2013,38.4
Arunachal Pradesh,2014,24.8
Assam,2004,35.7
Assam,2005,41.9
Assam,2006,49.1
Assam,2007,52.5
Assam,2008,49.8
Assam,2009,41.5
Assam,2010,40.5
Assam,2011,38.9
Assam,2012,40.3
Assam,2013,37.2
Assam,2014,39.9
Manipur,2004,31.8
Manipur,2005,42.6
Manipur,2006,51.8
Manipur,2007,55.6
Manipur,2008,50.3
Manipur,2009,37.1
Manipur,2010,44.8
Manipur,2011,36.6
Manipur,2012,33.2
Manipur,2013,30.2
Manipur,2014,34.0
Meghalaya,2004,42.6
Meghalaya,2005,85.7
Meghalaya,2006,113.9
Meghalaya,2007,41.2
Meghalaya,2008,41.1
Meghalaya,2009,34.6
Meghalaya,2010,32.7
Meghalaya,2011,29.6
Meghalaya,2012,28.2
Meghalaya,2013,24.6
Meghalaya,2014,28.6
Mizoram,2004,39.7
Mizoram,2005,59.1
Mizoram,2006,53.7
Mizoram,2007,58.4
Mizoram,2008,65.5
Mizoram,2009,60.2
Mizoram,2010,57.7
Mizoram,2011,49.8
Mizoram,2012,41.9
Mizoram,2013,38.7
Mizoram,2014,40.5
Nagaland,2004,15.2
Nagaland,2005,23.2
Nagaland,2006,23.2
Nagaland,2007,31.9
Nagaland,2008,43.9
Nagaland,2009,31.6
Nagaland,2010,40.2
Nagaland,2011,27.5
Nagaland,2012,47.6
Nagaland,2013,33.5
Nagaland,2014,32.5
Tripura,2004,24.7
Tripura,2005,29.0
Tripura,2006,33.9
Tripura,2007,36.2
Tripura,2008,36.8
Tripura,2009,31.5
Tripura,2010,31.6
Tripura,2011,33.2
Tripura,2012,31.7
Tripura,2013,35.7
Tripura,2014,32.5
Andaman & Nicobar Islands,2004,42.2
Andaman & Nicobar Islands,2005,43.8
Andaman & Nicobar Islands,2006,49.2
Andaman & Nicobar Islands,2007,56.6
Andaman & Nicobar Islands,2008,75.0
Andaman & Nicobar Islands,2009,38.1
Andaman & Nicobar Islands,2010,41.1
Andaman & Nicobar Islands,2011,39.1
Andaman & Nicobar Islands,2012,41.6
Andaman & Nicobar Islands,2013,38.9
Andaman & Nicobar Islands,2014,38.5
Bihar,2004,26.9
Bihar,2005,31.4
Bihar,2006,40.0
Bihar,2007,49.0
Bihar,2008,45.0
Bihar,2009,26.6
Bihar,2010,29.7
Bihar,2011,31.6
Bihar,2012,31.7
Bihar,2013,35.0
Bihar,2014,34.8
Jharkhand,2004,26.9
Jharkhand,2005,30.6
Jharkhand,2006,31.6
Jharkhand,2007,33.3
Jharkhand,2008,40.2
Jharkhand,2009,35.7
Jharkhand,2010,36.8
Jharkhand,2011,35.6
Jharkhand,2012,34.3
Jharkhand,2013,35.8
Jharkhand,2014,33.0
Odisha,2004,58.6
Odisha,2005,74.7
Odisha,2006,78.7
Odisha,2007,72.6
Odisha,2008,62.4
Odisha,2009,55.7
Odisha,2010,58.1
Odisha,2011,55.7
Odisha,2012,50.6
Odisha,2013,50.9
Odisha,2014,46.2
Sikkim,2004,23.0
Sikkim,2005,29.3
Sikkim,2006,44.8
Sikkim,2007,51.2
Sikkim,2008,53.7
Sikkim,2009,53.7
Sikkim,2010,49.5
Sikkim,2011,62.4
Sikkim,2012,57.9
Sikkim,2013,37.5
Sikkim,2014,37.3
West Bengal,2004,53.8
West Bengal,2005,56.8
West Bengal,2006,61.4
West Bengal,2007,68.4
West Bengal,2008,65.8
West Bengal,2009,62.2
West Bengal,2010,64.8
West Bengal,2011,65.1
West Bengal,2012,65.1
West Bengal,2013,63.3
West Bengal,2014,63.9
Chhattisgarh,2004,44.9
Chhattisgarh,2005,49.9
Chhattisgarh,2006,52.5
Chhattisgarh,2007,58.3
Chhattisgarh,2008,66.0
Chhattisgarh,2009,52.3
Chhattisgarh,2010,55.1
Chhattisgarh,2011,56.1
Chhattisgarh,2012,56.1
Chhattisgarh,2013,61.0
