state,year,value
Andaman & Nicobar Islands,2004-05,21.0
Andhra Pradesh,2004-05,15572.0
Arunachal Pradesh,2004-05,
Assam,2004-05,1710.0
Bihar,2004-05,1674.0
Chandigarh,2004-05,287.0
Chhattisgarh,2004-05,1343.0
Dadra & Nagar Haveli,2004-05,1059.0
Daman & Diu,2004-05,1681.0
Andaman & Nicobar Islands,2005-06,12.0
Andhra Pradesh,2005-06,15790.0
Arunachal Pradesh,2005-06,
Assam,2005-06,1864.0
Bihar,2005-06,1669.0
Chandigarh,2005-06,296.0
Chhattisgarh,2005-06,1478.0
Dadra & Nagar Haveli,2005-06,1124.0
Daman & Diu,2005-06,1534.0
Andaman & Nicobar Islands,2006-07,12.0
Andhra Pradesh,2006-07,15879.0
Arunachal Pradesh,2006-07,
Assam,2006-07,1967.0
Bihar,2006-07,1602.0
Chandigarh,2006-07,274.0
Chhattisgarh,2006-07,1779.0
Dadra & Nagar Haveli,2006-07,1054.0
Daman & Diu,2006-07,1523.0
Andaman & Nicobar Islands,2007-08,12.0
Andhra Pradesh,2007-08,16741.0
Arunachal Pradesh,2007-08,
Assam,2007-08,1859.0
Bihar,2007-08,1783.0
Chandigarh,2007-08,294.0
Chhattisgarh,2007-08,1854.0
Dadra & Nagar Haveli,2007-08,1014.0
Daman & Diu,2007-08,1487.0
Andaman & Nicobar Islands,2008-09,12.0
Andhra Pradesh,2008-09,16903.0
Arunachal Pradesh,2008-09,
Assam,2008-09,2211.0
Bihar,2008-09,1775.0
Chandigarh,2008-09,278.0
Chhattisgarh,2008-09,1919.0
Dadra & Nagar Haveli,2008-09,1151.0
Daman & Diu,2008-09,1443.0
Andaman & Nicobar Islands,2009-10,13.0
Andhra Pradesh,2009-10,17153.0
Arunachal Pradesh,2009-10,
Assam,2009-10,2247.0
Bihar,2009-10,1918.0
Chandigarh,2009-10,284.0
Chhattisgarh,2009-10,1976.0
Dadra & Nagar Haveli,2009-10,1103.0
Daman & Diu,2009-10,1447.0
Andaman & Nicobar Islands,2010-11,17.0
Andhra Pradesh,2010-11,26286.0
Arunachal Pradesh,2010-11,
Assam,2010-11,2795.0
Bihar,2010-11,2805.0
Chandigarh,2010-11,308.0
Chhattisgarh,2010-11,2358.0
Dadra & Nagar Haveli,2010-11,1457.0
Daman & Diu,2010-11,1940.0
Andaman & Nicobar Islands,2011-12,18.0
Andhra Pradesh,2011-12,27708.0
Arunachal Pradesh,2011-12,
Assam,2011-12,3019.0
Bihar,2011-12,3231.0
Chandigarh,2011-12,308.0
Chhattisgarh,2011-12,2472.0
Dadra & Nagar Haveli,2011-12,1480.0
Daman & Diu,2011-12,1950.0
Andaman & Nicobar Islands,2012-13,24.0
Andhra Pradesh,2012-13,15358.0
Arunachal Pradesh,2012-13,
Assam,2012-13,3303.0
Bihar,2012-13,3345.0
Chandigarh,2012-13,297.0
Chhattisgarh,2012-13,2441.0
Dadra & Nagar Haveli,2012-13,1413.0
Daman & Diu,2012-13,1885.0
Andaman & Nicobar Islands,2013-14,20.0
Andhra Pradesh,2013-14,15719.0
Arunachal Pradesh,2013-14,
Assam,2013-14,3518.0
Bihar,2013-14,3419.0
Chandigarh,2013-14,285.0
Chhattisgarh,2013-14,2534.0
Dadra & Nagar Haveli,2013-14,1405.0
Daman & Diu,2013-14,1881.0
Andaman & Nicobar Islands,2014-15,20.0
Andhra Pradesh,2014-15,16012.0
Arunachal Pradesh,2014-15,124.0
Assam,2014-15,3717.0
Bihar,2014-15,3529.0
Chandigarh,2014-15,276.0
Chhattisgarh,2014-15,2809.0
Dadra & Nagar Haveli,2014-15,1411.0
Daman & Diu,2014-15,1874.0
Andaman & Nicobar Islands,2015-16,19.0
Andhra Pradesh,2015-16,16340.0
