state,year,level,gender,ger
Andaman & Nicobar Islands,2022-23,Foundational,Male,64.6
Andaman & Nicobar Islands,2022-23,Foundational,Female,62.4
Andaman & Nicobar Islands,2022-23,Foundational,Total,63.5
Andaman & Nicobar Islands,2022-23,Preparatory,Male,91.8
Andaman & Nicobar Islands,2022-23,Preparatory,Female,93.6
Andaman & Nicobar Islands,2022-23,Preparatory,Total,92.7
Andaman & Nicobar Islands,2022-23,Middle,Male,93.5
Andaman & Nicobar Islands,2022-23,Middle,Female,94.7
Andaman & Nicobar Islands,2022-23,Middle,Total,94.1
Andaman & Nicobar Islands,2022-23,Secondary,Male,89.9
Andaman & Nicobar Islands,2022-23,Secondary,Female,99.3
Andaman & Nicobar Islands,2022-23,Secondary,Total,94.3
Andhra Pradesh,2022-23,Foundational,Male,44.1
Andhra Pradesh,2022-23,Foundational,Female,43.2
Andhra Pradesh,2022-23,Foundational,Total,43.6
Andhra Pradesh,2022-23,Preparatory,Male,106.7
Andhra Pradesh,2022-23,Preparatory,Female,106.7
Andhra Pradesh,2022-23,Preparatory,Total,106.7
Andhra Pradesh,2022-23,Middle,Male,102.8
Andhra Pradesh,2022-23,Middle,Female,98.5
Andhra Pradesh,2022-23,Middle,Total,100.7
Andhra Pradesh,2022-23,Secondary,Male,72.9
Andhra Pradesh,2022-23,Secondary,Female,75.1
Andhra Pradesh,2022-23,Secondary,Total,74.0
Arunachal Pradesh,2022-23,Foundational,Male,64.8
Arunachal Pradesh,2022-23,Foundational,Female,65.7
Arunachal Pradesh,2022-23,Foundational,Total,65.3
Arunachal Pradesh,2022-23,Preparatory,Male,100.1
Arunachal Pradesh,2022-23,Preparatory,Female,103.3
Arunachal Pradesh,2022-23,Preparatory,Total,101.6
Arunachal Pradesh,2022-23,Middle,Male,82.2
Arunachal Pradesh,2022-23,Middle,Female,88.8
Arunachal Pradesh,2022-23,Middle,Total,85.5
Arunachal Pradesh,2022-23,Secondary,Male,58.3
Arunachal Pradesh,2022-23,Secondary,Female,62.9
