state,year,value
Andaman & Nicobar Islands,2004-05,66.0
Andhra Pradesh,2004-05,440332.0
Arunachal Pradesh,2004-05,
Assam,2004-05,69245.0
Bihar,2004-05,11240.0
Chandigarh,2004-05,7351.0
Chhattisgarh,2004-05,400580.0
Dadra & Nagar Haveli,2004-05,96276.0
Daman & Diu,2004-05,45460.0
Andaman & Nicobar Islands,2005-06,332.0
Andhra Pradesh,2005-06,724481.0
Arunachal Pradesh,2005-06,
Assam,2005-06,101108.0
Bihar,2005-06,12120.0
Chandigarh,2005-06,9909.0
Chhattisgarh,2005-06,405341.0
Dadra & Nagar Haveli,2005-06,131774.0
Daman & Diu,2005-06,99279.0
Andaman & Nicobar Islands,2006-07,5.0
Andhra Pradesh,2006-07,1148840.0
Arunachal Pradesh,2006-07,
Assam,2006-07,87329.0
Bihar,2006-07,25702.0
Chandigarh,2006-07,5025.0
Chhattisgarh,2006-07,457813.0
Dadra & Nagar Haveli,2006-07,196072.0
Daman & Diu,2006-07,103935.0
Andaman & Nicobar Islands,2007-08,-60.0
Andhra Pradesh,2007-08,1471340.0
Arunachal Pradesh,2007-08,
Assam,2007-08,78687.0
Bihar,2007-08,32853.0
Chandigarh,2007-08,13548.0
Chhattisgarh,2007-08,461632.0
Dadra & Nagar Haveli,2007-08,212237.0
Daman & Diu,2007-08,117519.0
Andaman & Nicobar Islands,2008-09,422.0
Andhra Pradesh,2008-09,1845334.0
Arunachal Pradesh,2008-09,
Assam,2008-09,93358.0
Bihar,2008-09,24777.0
Chandigarh,2008-09,15343.0
Chhattisgarh,2008-09,725681.0
Dadra & Nagar Haveli,2008-09,347327.0
Daman & Diu,2008-09,117836.0
Andaman & Nicobar Islands,2009-10,-173.0
Andhra Pradesh,2009-10,2646910.0
Arunachal Pradesh,2009-10,
Assam,2009-10,134659.0
Bihar,2009-10,94620.0
Chandigarh,2009-10,7062.0
Chhattisgarh,2009-10,728887.0
Dadra & Nagar Haveli,2009-10,442979.0
Daman & Diu,2009-10,106201.0
Andaman & Nicobar Islands,2010-11,83.0
Andhra Pradesh,2010-11,2330915.0
Arunachal Pradesh,2010-11,
Assam,2010-11,169785.0
Bihar,2010-11,112974.0
Chandigarh,2010-11,22068.0
Chhattisgarh,2010-11,658883.0
Dadra & Nagar Haveli,2010-11,414923.0
Daman & Diu,2010-11,132474.0
Andaman & Nicobar Islands,2011-12,280.0
Andhra Pradesh,2011-12,2333338.0
Arunachal Pradesh,2011-12,
Assam,2011-12,382826.0
Bihar,2011-12,165489.0
Chandigarh,2011-12,15236.0
Chhattisgarh,2011-12,1061516.0
Dadra & Nagar Haveli,2011-12,397013.0
Daman & Diu,2011-12,144182.0
Andaman & Nicobar Islands,2012-13,-7.0
Andhra Pradesh,2012-13,1401341.0
Arunachal Pradesh,2012-13,
Assam,2012-13,150364.0
Bihar,2012-13,104357.0
Chandigarh,2012-13,5342.0
Chhattisgarh,2012-13,1072289.0
Dadra & Nagar Haveli,2012-13,397935.0
Daman & Diu,2012-13,140112.0
Andaman & Nicobar Islands,2013-14,404.0
Andhra Pradesh,2013-14,1374620.0
Arunachal Pradesh,2013-14,
Assam,2013-14,191887.0
Bihar,2013-14,91763.0
Chandigarh,2013-14,53510.0
Chhattisgarh,2013-14,1232281.0
Dadra & Nagar Haveli,2013-14,590692.0
Daman & Diu,2013-14,187691.0
Andaman & Nicobar Islands,2014-15,145.0
Andhra Pradesh,2014-15,1517315.0
Arunachal Pradesh,2014-15,544.0
Assam,2014-15,199028.0
Bihar,2014-15,134790.0
Chandigarh,2014-15,15140.0
Chhattisgarh,2014-15,1407004.0
Dadra & Nagar Haveli,2014-15,144346.0
Daman & Diu,2014-15,144522.0
Andaman & Nicobar Islands,2015-16,57.0
Andhra Pradesh,2015-16,2272830.0
Arunachal Pradesh,2015-16,1680.0
Assam,2015-16,1058836.0
Bihar,2015-16,139208.0
Chandigarh,2015-16,9642.0
Chhattisgarh,2015-16,1253597.0
Dadra & Nagar Haveli,2015-16,185445.0
Daman & Diu,2015-16,247906.0
Andaman & Nicobar Islands,2016-17,59.0
Andhra Pradesh,2016-17,2403902.0
Arunachal Pradesh,2016-17,2944.0
Assam,2016-17,240673.0
Bihar,2016-17,247166.0
Chandigarh,2016-17,3070.0
Chhattisgarh,2016-17,1291546.0
Dadra & Nagar Haveli,2016-17,142138.0
Daman & Diu,2016-17,261621.0
Andaman & Nicobar Islands,2017-18,93.0
Andhra Pradesh,2017-18,1499563.0
Arunachal Pradesh,2017-18,650.0
Assam,2017-18,192001.0
Bihar,2017-18,323458.0
Chandigarh,2017-18,6624.0
Chhattisgarh,2017-18,866708.0
Dadra & Nagar Haveli,2017-18,295789.0
Daman & Diu,2017-18,211642.0
Andaman & Nicobar Islands,2018-19,89.0
Andhra Pradesh,2018-19,2100851.0
Arunachal Pradesh,2018-19,1750.0
Assam,2018-19,253079.0
Bihar,2018-19,195917.0
Chandigarh,2018-19,-2522.0
Chhattisgarh,2018-19,990668.0
Dadra & Nagar Haveli,2018-19,375892.0
Daman & Diu,2018-19,154802.0
Andaman & Nicobar Islands,2019-20,80.0
Andhra Pradesh,2019-20,2645667.0
Arunachal Pradesh,2019-20,1250.0
Assam,2019-20,306938.0
Bihar,2019-20,157129.0
Chandigarh,2019-20,12922.0
Chhattisgarh,2019-20,568601.0
Dadra & Nagar Haveli,2019-20,216617.0
Daman & Diu,2019-20,175086.0
Andaman & Nicobar Islands,2020-21,40.0
Andhra Pradesh,2020-21,2276021.0
Arunachal Pradesh,2020-21,1772.0
Assam,2020-21,319395.0
Bihar,2020-21,257331.0
Chandigarh,2020-21,13476.0
Chhattisgarh,2020-21,172832.0
Dadra & Nagar Haveli,2020-21,279447.0
Daman & Diu,2020-21,
Andaman & Nicobar Islands,2021-22,-2.0
Andhra Pradesh,2021-22,2612421.0
Arunachal Pradesh,2021-22,17883.0
Assam,2021-22,603190.0
Bihar,2021-22,436353.0
Chandigarh,2021-22,6303.0
Chhattisgarh,2021-22,898296.0
Dadra & Nagar Haveli,2021-22,410117.0
Daman & Diu,2021-22,
Andaman & Nicobar Islands,2022-23,60.0
Andhra Pradesh,2022-23,2699581.0
Arunachal Pradesh,2022-23,9371.0
Assam,2022-23,925696.0
Bihar,2022-23,1243343.0
Chandigarh,2022-23,10441.0
Chhattisgarh,2022-23,1131527.0
Dadra & Nagar Haveli,2022-23,591878.0
Daman & Diu,2022-23,
Andaman & Nicobar Islands,2023-24,72.0
Andhra Pradesh,2023-24,3360432.0
Arunachal Pradesh,2023-24,6193.0
Assam,2023-24,1215066.0
Bihar,2023-24,535736.0
Chandigarh,2023-24,19785.0
Chhattisgarh,2023-24,1474785.0
Dadra & Nagar Haveli,2023-24,696009.0
