state,year,value
Andhra Pradesh,1993-97,61.2
Andhra Pradesh,1994-98,63.5
Andhra Pradesh,1995-99,62.4
Assam,1993-97,56.6
Assam,1994-98,57.1
Assam,1995-99,56.9
Bihar,1993-97,60.4
Bihar,1994-98,58.4
Bihar,1995-99,59.4
Chhattisgarh,1993-97,
Chhattisgarh,1994-98,
Chhattisgarh,1995-99,
Delhi,1993-97,
Delhi,1994-98,
Delhi,1995-99,
Gujarat,1993-97,60.9
Gujarat,1994-98,62.9
Gujarat,1995-99,61.9
Haryana,1993-97,63.7
Haryana,1994-98,64.6
Haryana,1995-99,64.2
Himachal Pradesh,1993-97,64.6
Himachal Pradesh,1994-98,65.2
Himachal Pradesh,1995-99,64.9
Jammu & Kashmir,1993-97,
Jammu & Kashmir,1994-98,
Jammu & Kashmir,1995-99,
Jharkhand,1993-97,
Jharkhand,1994-98,
Jharkhand,1995-99,
Karnataka,1993-97,61.6
Karnataka,1994-98,64.9
Karnataka,1995-99,63.3
Kerala,1993-97,70.4
Kerala,1994-98,75.9
Kerala,1995-99,73.2
Madhya Pradesh,1993-97,55.6
Madhya Pradesh,1994-98,55.2
Madhya Pradesh,1995-99,55.4
Maharashtra,1993-97,64.1
Maharashtra,1994-98,66.6
Maharashtra,1995-99,65.4
Odisha,1993-97,57.1
Odisha,1994-98,57.0
Odisha,1995-99,57.1
Punjab,1993-97,66.7
Punjab,1994-98,68.8
Punjab,1995-99,67.8
Rajasthan,1993-97,59.1
Rajasthan,1994-98,60.1
Rajasthan,1995-99,59.6
Tamil Nadu,1993-97,63.2
Tamil Nadu,1994-98,65.1
Tamil Nadu,1995-99,64.2
Uttar Pradesh,1993-97,58.1
Uttar Pradesh,1994-98,56.9
Uttar Pradesh,1995-99,57.5
Uttarakhand,1993-97,
Uttarakhand,1994-98,
Uttarakhand,1995-99,
West Bengal,1993-97,62.2
West Bengal,1994-98,63.6
West Bengal,1995-99,62.9
Andhra Pradesh,2000-04,62.3
Andhra Pradesh,2001-05,67.1
Andhra Pradesh,2002-06,64.6
Andhra Pradesh,2003-07,62.8
Assam,2000-04,58.2
Assam,2001-05,59.6
Assam,2002-06,58.8
Assam,2003-07,58.4
Bihar,2000-04,64.3
Bihar,2001-05,63.9
Bihar,2002-06,64.1
Bihar,2003-07,64.2
Chhattisgarh,2000-04,
Chhattisgarh,2001-05,
Chhattisgarh,2002-06,
Chhattisgarh,2003-07,
Delhi,2000-04,
Delhi,2001-05,
Delhi,2002-06,
Delhi,2003-07,
Gujarat,2000-04,63.7
Gujarat,2001-05,67.6
Gujarat,2002-06,65.6
Gujarat,2003-07,63.7
Haryana,2000-04,64.6
Haryana,2001-05,67.8
Haryana,2002-06,66.1
Haryana,2003-07,65.0
Himachal Pradesh,2000-04,67.3
Himachal Pradesh,2001-05,72.0
Himachal Pradesh,2002-06,69.5
Himachal Pradesh,2003-07,67.4
Jammu & Kashmir,2000-04,65.9
Jammu & Kashmir,2001-05,68.9
Jammu & Kashmir,2002-06,67.3
Jammu & Kashmir,2003-07,67.1
Jharkhand,2000-04,
Jharkhand,2001-05,
Jharkhand,2002-06,
Jharkhand,2003-07,
Karnataka,2000-04,63.3
Karnataka,2001-05,68.6
Karnataka,2002-06,65.8
Karnataka,2003-07,63.9
Kerala,2000-04,70.3
Kerala,2001-05,76.1
Kerala,2002-06,73.2
Kerala,2003-07,70.5
Madhya Pradesh,2000-04,58.6
Madhya Pradesh,2001-05,60.0
Madhya Pradesh,2002-06,59.3
Madhya Pradesh,2003-07,58.9
Maharashtra,2000-04,65.8
Maharashtra,2001-05,69.2
Maharashtra,2002-06,67.5
Maharashtra,2003-07,66.3
Odisha,2000-04,59.3
Odisha,2001-05,61.5
Odisha,2002-06,60.4
Odisha,2003-07,59.6
Punjab,2000-04,67.2
Punjab,2001-05,69.5
Punjab,2002-06,68.3
Punjab,2003-07,67.5
Rajasthan,2000-04,62.6
Rajasthan,2001-05,65.6
Rajasthan,2002-06,64.1
Rajasthan,2003-07,63.0
Tamil Nadu,2000-04,65.3
Tamil Nadu,2001-05,68.2
Tamil Nadu,2002-06,66.7
Tamil Nadu,2003-07,65.7
Uttar Pradesh,2000-04,60.4
Uttar Pradesh,2001-05,60.7
Uttar Pradesh,2002-06,60.5
Uttar Pradesh,2003-07,60.6
Uttarakhand,2000-04,
Uttarakhand,2001-05,
Uttarakhand,2002-06,
Uttarakhand,2003-07,
West Bengal,2000-04,65.3
West Bengal,2001-05,68.5
West Bengal,2002-06,66.8
West Bengal,2003-07,65.7
Andhra Pradesh,2004-08,63.5
Andhra Pradesh,2005-09,68.1
Andhra Pradesh,2006-10,65.7
Andhra Pradesh,2007-11,63.4
Assam,2004-08,60.0
Assam,2005-09,62.3
Assam,2006-10,61.0
Assam,2007-11,60.5
Bihar,2004-08,64.2
Bihar,2005-09,64.7
Bihar,2006-10,64.4
Bihar,2007-11,64.9
Chhattisgarh,2004-08,
Chhattisgarh,2005-09,
Chhattisgarh,2006-10,
Chhattisgarh,2007-11,
Delhi,2004-08,
Delhi,2005-09,
Delhi,2006-10,
Delhi,2007-11,
Gujarat,2004-08,64.3
Gujarat,2005-09,68.7
Gujarat,2006-10,66.4
Gujarat,2007-11,64.4
Haryana,2004-08,65.3
Haryana,2005-09,69.0
Haryana,2006-10,67.1
Haryana,2007-11,65.1
Himachal Pradesh,2004-08,67.7
Himachal Pradesh,2005-09,72.1
Himachal Pradesh,2006-10,69.8
Himachal Pradesh,2007-11,67.7
Jammu & Kashmir,2004-08,69.0
Jammu & Kashmir,2005-09,70.6
Jammu & Kashmir,2006-10,69.8
Jammu & Kashmir,2007-11,68.9
Jharkhand,2004-08,
Jharkhand,2005-09,
Jharkhand,2006-10,
Jharkhand,2007-11,
Karnataka,2004-08,64.4
Karnataka,2005-09,69.2
Karnataka,2006-10,66.7
Karnataka,2007-11,64.6
Kerala,2004-08,71.2
Kerala,2005-09,77.4
Kerala,2006-10,74.3
Kerala,2007-11,71.3
Madhya Pradesh,2004-08,60.3
Madhya Pradesh,2005-09,62.7
Madhya Pradesh,2006-10,61.4
Madhya Pradesh,2007-11,60.8
Maharashtra,2004-08,67.6
Maharashtra,2005-09,71.6
Maharashtra,2006-10,69.5
Maharashtra,2007-11,67.6
Odisha,2004-08,62.1
Odisha,2005-09,63.0
Odisha,2006-10,62.1
Odisha,2007-11,61.7
Punjab,2004-08,67.5
Punjab,2005-09,71.1
Punjab,2006-10,69.2
Punjab,2007-11,67.2
Rajasthan,2004-08,64.3
Rajasthan,2005-09,67.4
Rajasthan,2006-10,65.8
Rajasthan,2007-11,64.7
Tamil Nadu,2004-08,66.6
Tamil Nadu,2005-09,70.1
Tamil Nadu,2006-10,68.3
Tamil Nadu,2007-11,66.9
Uttar Pradesh,2004-08,61.4
Uttar Pradesh,2005-09,62.6
Uttar Pradesh,2006-10,61.9
Uttar Pradesh,2007-11,61.6
Uttarakhand,2004-08,
Uttarakhand,2005-09,
Uttarakhand,2006-10,
Uttarakhand,2007-11,
West Bengal,2004-08,66.7
West Bengal,2005-09,70.3
West Bengal,2006-10,68.3
West Bengal,2007-11,66.9
Andhra Pradesh,2008-12,64.7
Andhra Pradesh,2009-13,69.4
Andhra Pradesh,2010-14,67.0
Andhra Pradesh,2011-15,65.5
Assam,2008-12,61.2
Assam,2009-13,64.8
Assam,2010-14,62.7
Assam,2011-15,61.9
Bihar,2008-12,66.7
Bihar,2009-13,67.6
Bihar,2010-14,67.2
Bihar,2011-15,67.3
Chhattisgarh,2008-12,
Chhattisgarh,2009-13,
Chhattisgarh,2010-14,
Chhattisgarh,2011-15,
Delhi,2008-12,
Delhi,2009-13,
Delhi,2010-14,
Delhi,2011-15,
Gujarat,2008-12,65.5
Gujarat,2009-13,70.1
Gujarat,2010-14,67.7
Gujarat,2011-15,66.0
Haryana,2008-12,65.4
Haryana,2009-13,70.1
Haryana,2010-14,67.6
Haryana,2011-15,65.8
