state,year,value
Andaman & Nicobar Islands,2011-12,6334.0
Andaman & Nicobar Islands,2012-13,6450.0
Andaman & Nicobar Islands,2013-14,6685.0
Andaman & Nicobar Islands,2014-15,4948.0
Andaman & Nicobar Islands,2015-16,7763.0
Andaman & Nicobar Islands,2016-17,8772.0
Andhra Pradesh,2011-12,5070622.0
Andhra Pradesh,2012-13,4237657.0
Andhra Pradesh,2013-14,4242337.0
Andhra Pradesh,2014-15,5453191.0
Andhra Pradesh,2015-16,5884026.0
Andhra Pradesh,2016-17,6471524.0
Arunachal Pradesh,2011-12,12900.0
Arunachal Pradesh,2012-13,14827.0
Arunachal Pradesh,2013-14,19714.0
Arunachal Pradesh,2014-15,70373.0
Arunachal Pradesh,2015-16,43166.0
Arunachal Pradesh,2016-17,51608.0
Assam,2011-12,1540255.0
Assam,2012-13,1531538.0
Assam,2013-14,1904299.0
Assam,2014-15,2092300.0
Assam,2015-16,2616441.0
Assam,2016-17,3170604.0
Bihar,2011-12,1466570.0
Bihar,2012-13,1035092.0
Bihar,2013-14,2120942.0
Bihar,2014-15,2997754.0
Bihar,2015-16,2548976.0
Bihar,2016-17,3196246.0
Chandigarh,2011-12,101724.0
Chandigarh,2012-13,113846.0
Chandigarh,2013-14,134204.0
Chandigarh,2014-15,102657.0
Chandigarh,2015-16,101242.0
Chandigarh,2016-17,120992.0
Chhattisgarh,2011-12,2435032.0
Chhattisgarh,2012-13,2817915.0
Chhattisgarh,2013-14,3810105.0
Chhattisgarh,2014-15,3495197.0
Chhattisgarh,2015-16,3234424.0
Chhattisgarh,2016-17,3102774.0
Delhi,2011-12,1890728.0
Delhi,2012-13,2334979.0
Delhi,2013-14,2533769.0
Delhi,2014-15,2338536.0
Delhi,2015-16,3119470.0
Delhi,2016-17,3011670.0
Goa,2011-12,1629346.0
Goa,2012-13,1453493.0
Goa,2013-14,1091757.0
Goa,2014-15,1944115.0
Goa,2015-16,2246833.0
Goa,2016-17,2475168.0
Gujarat,2011-12,15681931.0
Gujarat,2012-13,20692579.0
Gujarat,2013-14,21997752.0
Gujarat,2014-15,27875630.0
Gujarat,2015-16,32111916.0
Gujarat,2016-17,36269555.0
Haryana,2011-12,5328609.0
Haryana,2012-13,6663757.0
Haryana,2013-14,7386437.0
Haryana,2014-15,7970167.0
Haryana,2015-16,8840035.0
Haryana,2016-17,10041054.0
Himachal Pradesh,2011-12,1799826.0
Himachal Pradesh,2012-13,2063113.0
Himachal Pradesh,2013-14,2355433.0
Himachal Pradesh,2014-15,2598199.0
Himachal Pradesh,2015-16,2919650.0
Himachal Pradesh,2016-17,3399754.0
Jammu & Kashmir*,2011-12,797560.0
Jammu & Kashmir*,2012-13,785118.0
Jammu & Kashmir*,2013-14,835783.0
Jammu & Kashmir*,2014-15,876020.0
Jammu & Kashmir*,2015-16,1032469.0
Jammu & Kashmir*,2016-17,1041140.0
Jharkhand,2011-12,3016583.0
Jharkhand,2012-13,3797607.0
Jharkhand,2013-14,3660373.0
Jharkhand,2014-15,4065135.0
Jharkhand,2015-16,2979923.0
Jharkhand,2016-17,4155031.0
Karnataka,2011-12,9713888.0
Karnataka,2012-13,10850509.0
Karnataka,2013-14,11794288.0
Karnataka,2014-15,12008490.0
Karnataka,2015-16,14266143.0
Karnataka,2016-17,18218381.0
Kerala,2011-12,3420404.0
Kerala,2012-13,4054145.0
Kerala,2013-14,4069129.0
Kerala,2014-15,4295381.0
Kerala,2015-16,5161952.0
Kerala,2016-17,6200811.0
Madhya Pradesh,2011-12,3828625.0
Madhya Pradesh,2012-13,4171724.0
Madhya Pradesh,2013-14,4018450.0
Madhya Pradesh,2014-15,4233489.0
Madhya Pradesh,2015-16,5191200.0
Madhya Pradesh,2016-17,5732405.0
Maharashtra,2011-12,24603175.0
Maharashtra,2012-13,28203191.0
Maharashtra,2013-14,32423665.0
Maharashtra,2014-15,34197980.0
Maharashtra,2015-16,37291722.0
Maharashtra,2016-17,37706860.0
Manipur,2011-12,40990.0
Manipur,2012-13,30594.0
Manipur,2013-14,46011.0
Manipur,2014-15,47201.0
Manipur,2015-16,59408.0
Manipur,2016-17,60896.0
Meghalaya,2011-12,464603.0
Meghalaya,2012-13,493214.0
Meghalaya,2013-14,399384.0
Meghalaya,2014-15,358995.0
Meghalaya,2015-16,174254.0
Meghalaya,2016-17,202964.0
Mizoram,2011-12,6578.0
Mizoram,2012-13,7358.0
Mizoram,2013-14,8329.0
Mizoram,2014-15,8111.0
Mizoram,2015-16,10460.0
Mizoram,2016-17,11155.0
Nagaland,2011-12,15122.0
Nagaland,2012-13,19400.0
Nagaland,2013-14,16831.0
Nagaland,2014-15,24062.0
Nagaland,2015-16,26432.0
Nagaland,2016-17,30403.0
Odisha,2011-12,4116404.0
Odisha,2012-13,4212453.0
Odisha,2013-14,5168498.0
Odisha,2014-15,4724215.0
Odisha,2015-16,4654610.0
Odisha,2016-17,6741508.0
Puducherry,2011-12,427827.0
Puducherry,2012-13,437890.0
Puducherry,2013-14,580331.0
Puducherry,2014-15,472373.0
Puducherry,2015-16,707213.0
Puducherry,2016-17,769596.0
