state,micro,small,medium,total
Andhra Pradesh,3800597.0,16986.0,982.0,3818565.0
Arunachal Pradesh,46678.0,379.0,19.0,47076.0
Assam,1450337.0,6695.0,519.0,1457551.0
Bihar,4126666.0,11974.0,583.0,4139223.0
Chandigarh,77515.0,1263.0,132.0,78910.0
Chhattisgarh,1304567.0,8344.0,720.0,1313631.0
Delhi,1387179.0,28418.0,2751.0,1418348.0
Goa,126553.0,1121.0,77.0,127751.0
Gujarat,4207089.0,54125.0,4225.0,4265439.0
Haryana,1929969.0,23022.0,1763.0,1954754.0
Himachal Pradesh,332203.0,2572.0,209.0,334984.0
Jammu And Kashmir,815822.0,3220.0,215.0,819257.0
Jharkhand,1510829.0,5904.0,356.0,1517089.0
Karnataka,4840286.0,31489.0,2293.0,4874068.0
Kerala,1787781.0,12923.0,768.0,1801472.0
Ladakh,19745.0,114.0,3.0,19862.0
Madhya Pradesh,4673947.0,19811.0,1179.0,4694937.0
Maharashtra,9815933.0,74542.0,6893.0,9897368.0
Manipur,172958.0,424.0,18.0,173400.0
Meghalaya,70438.0,412.0,32.0,70882.0
Mizoram,50709.0,212.0,9.0,50930.0
Nagaland,72503.0,176.0,16.0,72695.0
Odisha,2341171.0,10022.0,607.0,2351800.0
Puducherry,105645.0,666.0,59.0,106370.0
Punjab,2066029.0,16914.0,1226.0,2084169.0
Rajasthan,4289863.0,27205.0,1659.0,4318727.0
Sikkim,35079.0,164.0,13.0,35256.0
Tamil Nadu,6008953.0,39259.0,2822.0,6051034.0
Telangana,3702077.0,20182.0,1783.0,3724042.0
Tripura,308198.0,701.0,47.0,308946.0
Uttar Pradesh,8267274.0,40249.0,2648.0,8310171.0
Uttarakhand,624035.0,4040.0,273.0,628348.0
West Bengal,5159958.0,24088.0,1778.0,5185824.0
Andaman & Nicobar Islands,21645.0,156.0,4.0,21805.0
Dadra & Nagar Haveli and Daman & Diu,33931.0,916.0,135.0,34982.0
Lakshadweep,2431.0,,,2431.0
