state,year,value
Andaman & Nicobar Islands,2011-12,89100.0
Andaman & Nicobar Islands,2012-13,98777.0
Andaman & Nicobar Islands,2013-14,111087.0
Andaman & Nicobar Islands,2014-15,126344.0
Andaman & Nicobar Islands,2015-16,137064.0
Andaman & Nicobar Islands,2016-17,153904.0
Andhra Pradesh,2011-12,69000.0
Andhra Pradesh,2012-13,74687.0
Andhra Pradesh,2013-14,82870.0
Andhra Pradesh,2014-15,93903.0
Andhra Pradesh,2015-16,108002.0
Andhra Pradesh,2016-17,120676.0
Arunachal Pradesh,2011-12,73540.0
Arunachal Pradesh,2012-13,82626.0
Arunachal Pradesh,2013-14,94135.0
Arunachal Pradesh,2014-15,114789.0
Arunachal Pradesh,2015-16,116985.0
Arunachal Pradesh,2016-17,124129.0
Assam,2011-12,41142.0
Assam,2012-13,44599.0
Assam,2013-14,49734.0
Assam,2014-15,52895.0
Assam,2015-16,60817.0
Assam,2016-17,66330.0
Bihar,2011-12,21750.0
Bihar,2012-13,24487.0
Bihar,2013-14,26948.0
Bihar,2014-15,28671.0
Bihar,2015-16,30404.0
Bihar,2016-17,34045.0
Chandigarh,2011-12,158967.0
Chandigarh,2012-13,180457.0
Chandigarh,2013-14,203356.0
Chandigarh,2014-15,212594.0
Chandigarh,2015-16,230009.0
Chandigarh,2016-17,252236.0
Chhattisgarh,2011-12,55177.0
Chhattisgarh,2012-13,60849.0
Chhattisgarh,2013-14,69880.0
Chhattisgarh,2014-15,72936.0
Chhattisgarh,2015-16,72991.0
Chhattisgarh,2016-17,83285.0
Delhi,2011-12,185001.0
Delhi,2012-13,205568.0
Delhi,2013-14,227900.0
Delhi,2014-15,247209.0
Delhi,2015-16,270261.0
Delhi,2016-17,295558.0
Goa,2011-12,259444.0
Goa,2012-13,234354.0
Goa,2013-14,215776.0
Goa,2014-15,289185.0
Goa,2015-16,334576.0
Goa,2016-17,378953.0
Gujarat,2011-12,87481.0
Gujarat,2012-13,102826.0
Gujarat,2013-14,113139.0
Gujarat,2014-15,127017.0
Gujarat,2015-16,139254.0
Gujarat,2016-17,156295.0
Haryana,2011-12,106085.0
Haryana,2012-13,121269.0
Haryana,2013-14,137770.0
Haryana,2014-15,147382.0
Haryana,2015-16,164963.0
Haryana,2016-17,184982.0
