state,year,value
Andaman & Nicobar Islands,2005,1298.0
Andaman & Nicobar Islands,2006,1301.0
Andaman & Nicobar Islands,2007,1303.0
Andaman & Nicobar Islands,2008,1301.0
Andaman & Nicobar Islands,2009,1297.0
Andaman & Nicobar Islands,2010,1302.0
Andaman & Nicobar Islands,2011,1386.0
Andaman & Nicobar Islands,2012,1319.0
Andhra Pradesh@,2005,329407.0
Andhra Pradesh@,2006,336982.0
Andhra Pradesh@,2007,339002.0
Andhra Pradesh@,2008,345012.0
Andhra Pradesh@,2009,232280.0
Andhra Pradesh@,2010,235678.0
Andhra Pradesh@,2011,238001.0
Andhra Pradesh@,2012,256448.0
Arunachal Pradesh,2005,17751.0
Arunachal Pradesh,2006,17216.0
Arunachal Pradesh,2007,17430.0
Arunachal Pradesh,2008,16494.0
Arunachal Pradesh,2009,20384.0
Arunachal Pradesh,2010,21122.0
Arunachal Pradesh,2011,21555.0
Arunachal Pradesh,2012,14980.0
Assam,2005,208788.0
Assam,2006,215819.0
Assam,2007,223450.0
Assam,2008,230334.0
Assam,2009,236985.0
Assam,2010,239394.0
Assam,2011,241789.0
Assam,2012,284232.0
Bihar,2005,119958.0
Bihar,2006,120127.0
Bihar,2007,120127.0
Bihar,2008,120127.0
Bihar,2009,124363.0
Bihar,2010,128034.0
Bihar,2011,130642.0
Bihar,2012,138517.0
Chandigarh,2005,2118.0
Chandigarh,2006,2118.0
Chandigarh,2007,2118.0
Chandigarh,2008,2118.0
Chandigarh,2009,2246.0
Chandigarh,2010,2264.0
Chandigarh,2011,2284.0
Chandigarh,2012,1928.0
Chhattisgarh,2005,72322.0
Chhattisgarh,2006,73892.0
Chhattisgarh,2007,73705.0
Chhattisgarh,2008,74434.0
Chhattisgarh,2009,87733.0
Chhattisgarh,2010,91477.0
Chhattisgarh,2011,93965.0
Chhattisgarh,2012,75742.0
Dadra & Nagar Haveli,2005,632.0
Dadra & Nagar Haveli,2006,632.0
Dadra & Nagar Haveli,2007,632.0
Dadra & Nagar Haveli,2008,632.0
Dadra & Nagar Haveli,2009,758.0
Dadra & Nagar Haveli,2010,787.0
Dadra & Nagar Haveli,2011,808.0
Dadra & Nagar Haveli,2012,810.0
Daman & Diu,2005,223.0
Daman & Diu,2006,223.0
Daman & Diu,2007,223.0
Daman & Diu,2008,224.0
Daman & Diu,2009,229.0
Daman & Diu,2010,229.0
Daman & Diu,2011,236.0
Daman & Diu,2012,237.0
Delhi,2005,29458.0
Delhi,2006,29462.0
Delhi,2007,29479.0
Delhi,2008,29559.0
Delhi,2009,29589.0
Delhi,2010,29627.0
Delhi,2011,29648.0
Delhi,2012,30711.0
Goa,2005,10331.0
Goa,2006,10420.0
Goa,2007,10523.0
Goa,2008,10569.0
Goa,2009,10190.0
Goa,2010,10356.0
Goa,2011,10627.0
Goa,2012,11082.0
Gujarat,2005,143419.0
Gujarat,2006,144777.0
Gujarat,2007,145631.0
Gujarat,2008,146630.0
Gujarat,2009,153521.0
Gujarat,2010,155614.0
Gujarat,2011,156188.0
Gujarat,2012,163149.0
Haryana,2005,28657.0
Haryana,2006,29055.0
Haryana,2007,29397.0
Haryana,2008,29726.0
Haryana,2009,36032.0
Haryana,2010,37276.0
Haryana,2011,41729.0
Haryana,2012,42638.0
Himachal Pradesh,2005,23452.0
Himachal Pradesh,2006,23614.0
Himachal Pradesh,2007,34954.0
Himachal Pradesh,2008,36298.0
Himachal Pradesh,2009,44467.0
Himachal Pradesh,2010,46734.0
Himachal Pradesh,2011,47963.0
Himachal Pradesh,2012,50449.0
Jammu & Kashmir,2005,21811.0
Jammu & Kashmir,2006,22043.0
Jammu & Kashmir,2007,22058.0
Jammu & Kashmir,2008,22323.0
Jammu & Kashmir,2009,24581.0
Jammu & Kashmir,2010,25770.0
Jammu & Kashmir,2011,26980.0
Jammu & Kashmir,2012,36353.0
Jharkhand,2005,18038.0
Jharkhand,2006,18055.0
Jharkhand,2007,18071.0
Jharkhand,2008,17531.0
Jharkhand,2009,20772.0
Jharkhand,2010,22302.0
Jharkhand,2011,23903.0
Jharkhand,2012,26277.0
Karnataka,2005,210415.0
Karnataka,2006,214211.0
Karnataka,2007,253901.0
Karnataka,2008,255454.0
Karnataka,2009,274896.0
Karnataka,2010,280147.0
Karnataka,2011,281773.0
Karnataka,2012,303128.0
Kerala,2005,169516.0
Kerala,2006,187147.0
Kerala,2007,197454.0
Kerala,2008,204757.0
Kerala,2009,200625.0
Kerala,2010,200928.0
Kerala,2011,201220.0
Kerala,2012,215438.0
Lakshadweep,2005,162.0
Lakshadweep,2006,166.0
Lakshadweep,2007,168.0
Lakshadweep,2008,172.0
Lakshadweep,2009,176.0
Lakshadweep,2010,182.0
Lakshadweep,2011,190.0
Lakshadweep,2012,202.0
Madhya Pradesh,2005,163920.0
Madhya Pradesh,2006,164801.0
Madhya Pradesh,2007,165407.0
Madhya Pradesh,2008,165740.0
Madhya Pradesh,2009,185898.0
Madhya Pradesh,2010,189915.0
Madhya Pradesh,2011,197293.0
Madhya Pradesh,2012,201261.0
Maharashtra,2005,220937.0
Maharashtra,2006,220447.0
Maharashtra,2007,223142.0
Maharashtra,2008,223322.0
Maharashtra,2009,399416.0
Maharashtra,2010,406660.0
Maharashtra,2011,410521.0
Maharashtra,2012,396685.0
Manipur,2005,16502.0
Manipur,2006,16502.0
Manipur,2007,16502.0
Manipur,2008,16502.0
Manipur,2009,17724.0
Manipur,2010,18604.0
Manipur,2011,19133.0
Manipur,2012,19252.0
Meghalaya,2005,9662.0
Meghalaya,2006,9691.0
Meghalaya,2007,9752.0
Meghalaya,2008,9839.0
Meghalaya,2009,11019.0
Meghalaya,2010,11702.0
Meghalaya,2011,11984.0
Meghalaya,2012,12103.0
Mizoram,2005,5426.0
Mizoram,2006,5974.0
Mizoram,2007,6144.0
