state,year,value
Andaman & Nicobar Islands,2004-05,12.6
Andaman & Nicobar Islands,2005-06,24.3
Andaman & Nicobar Islands,2006-07,23.1
Andaman & Nicobar Islands,2007-08,26.9
Andaman & Nicobar Islands,2008-09,24.2
Andaman & Nicobar Islands,2009-10,19.8
Andaman & Nicobar Islands,2010-11,20.7
Andaman & Nicobar Islands,2011-12,18.2
Andaman & Nicobar Islands,2012-13,18.1
Andhra Pradesh@,2004-05,23.9
Andhra Pradesh@,2005-06,20.1
Andhra Pradesh@,2006-07,18.7
Andhra Pradesh@,2007-08,22.4
Andhra Pradesh@,2008-09,19.6
Andhra Pradesh@,2009-10,18.4
Andhra Pradesh@,2010-11,16.6
Andhra Pradesh@,2011-12,17.5
Andhra Pradesh@,2012-13,19.3
Arunachal Pradesh,2004-05,42.9
Arunachal Pradesh,2005-06,49.7
Arunachal Pradesh,2006-07,57.8
Arunachal Pradesh,2007-08,67.2
Arunachal Pradesh,2008-09,46.9
Arunachal Pradesh,2009-10,48.0
Arunachal Pradesh,2010-11,47.1
Arunachal Pradesh,2011-12,46.3
Arunachal Pradesh,2012-13,46.0
Assam,2004-05,51.8
Assam,2005-06,40.3
Assam,2006-07,33.7
Assam,2007-08,38.6
Assam,2008-09,37.6
Assam,2009-10,32.8
Assam,2010-11,34.2
Assam,2011-12,33.5
Assam,2012-13,30.7
Bihar,2004-05,38.9
Bihar,2005-06,44.0
Bihar,2006-07,50.7
Bihar,2007-08,48.8
Bihar,2008-09,46.4
Bihar,2009-10,43.6
Bihar,2010-11,50.8
Bihar,2011-12,50.9
Bihar,2012-13,49.4
Chandigarh,2004-05,30.4
Chandigarh,2005-06,31.6
Chandigarh,2006-07,25.1
Chandigarh,2007-08,23.8
Chandigarh,2008-09,22.4
Chandigarh,2009-10,23.2
Chandigarh,2010-11,20.3
Chandigarh,2011-12,23.7
Chandigarh,2012-13,19.3
Chhattisgarh,2004-05,28.1
Chhattisgarh,2005-06,31.1
Chhattisgarh,2006-07,31.7
Chhattisgarh,2007-08,29.8
Chhattisgarh,2008-09,26.4
