state,year,value
Andaman & Nicobar Islands,2004,11.6
Andaman & Nicobar Islands,2005,12.6
Andaman & Nicobar Islands,2006,18.0
Andaman & Nicobar Islands,2007,17.4
Andaman & Nicobar Islands,2008,18.4
Andaman & Nicobar Islands,2009,21.2
Andaman & Nicobar Islands,2010,30.0
Andaman & Nicobar Islands,2011,
Andaman & Nicobar Islands,2012,
Andaman & Nicobar Islands,2013,
Andhra Pradesh,2004,7.9
Andhra Pradesh,2005,9.5
Andhra Pradesh,2006,13.5
Andhra Pradesh,2007,19.6
Andhra Pradesh,2008,28.3
Andhra Pradesh,2009,39.6
Andhra Pradesh,2010,57.2
Andhra Pradesh,2011,74.4
Andhra Pradesh,2012,80.9
Andhra Pradesh,2013,77.19
Assam,2004,2.1
Assam,2005,2.8
Assam,2006,5.7
Assam,2007,9.7
Assam,2008,14.7
Assam,2009,20.7
Assam,2010,30.0
Assam,2011,39.0
Assam,2012,46.6
Assam,2013,46.51
Bihar,2004,1.7
Bihar,2005,2.4
Bihar,2006,5.3
Bihar,2007,7.3
Bihar,2008,12.6
Bihar,2009,22.2
Bihar,2010,38.0
Bihar,2011,42.3
Bihar,2012,48.9
Bihar,2013,45.72
Chhattisgarh**,2004,1.6
Chhattisgarh**,2005,1.8
Chhattisgarh**,2006,2.1
Chhattisgarh**,2007,3.2
Chhattisgarh**,2008,4.4
Chhattisgarh**,2009,5.2
Chhattisgarh**,2010,5.7
Chhattisgarh**,2011,
Chhattisgarh**,2012,
Chhattisgarh**,2013,
Gujarat,2004,10.1
Gujarat,2005,12.7
Gujarat,2006,17.0
Gujarat,2007,24.1
Gujarat,2008,33.6
Gujarat,2009,45.2
Gujarat,2010,58.5
Gujarat,2011,81.9
Gujarat,2012,91.1
Gujarat,2013,87.23
Haryana,2004,8.4
Haryana,2005,10.8
Haryana,2006,14.5
Haryana,2007,23.1
Haryana,2008,30.4
Haryana,2009,43.8
Haryana,2010,59.7
Haryana,2011,82.6
Haryana,2012,89.4
Haryana,2013,76.44
Himachal Pradesh,2004,10.1
Himachal Pradesh,2005,13.1
Himachal Pradesh,2006,18.8
Himachal Pradesh,2007,28.6
Himachal Pradesh,2008,41.2
Himachal Pradesh,2009,55.5
Himachal Pradesh,2010,79.4
Himachal Pradesh,2011,111.1
Himachal Pradesh,2012,120.7
Himachal Pradesh,2013,105.39
Jammu & Kashmir,2004,3.0
Jammu & Kashmir,2005,5.1
Jammu & Kashmir,2006,12.2
Jammu & Kashmir,2007,16.1
Jammu & Kashmir,2008,21.8
Jammu & Kashmir,2009,32.8
Jammu & Kashmir,2010,49.9
Jammu & Kashmir,2011,50.9
Jammu & Kashmir,2012,54.8
Jammu & Kashmir,2013,58.57
Jharkhand**,2004,2.0
Jharkhand**,2005,2.3
Jharkhand**,2006,3.0
Jharkhand**,2007,3.4
Jharkhand**,2008,3.6
Jharkhand**,2009,4.1
Jharkhand**,2010,5.5
Jharkhand**,2011,
Jharkhand**,2012,
Jharkhand**,2013,
Karnataka,2004,9.5
Karnataka,2005,12.2
Karnataka,2006,17.1
Karnataka,2007,25.1
Karnataka,2008,34.5
Karnataka,2009,45.2
Karnataka,2010,67.8
Karnataka,2011,87.8
Karnataka,2012,97.2
Karnataka,2013,91.24
Kerala,2004,14.9
Kerala,2005,18.8
Kerala,2006,25.5
