state,year,value
Andaman & Nicobar Islands,2011-12,403755.0
Andaman & Nicobar Islands,2012-13,450223.0
Andaman & Nicobar Islands,2013-14,503825.0
Andaman & Nicobar Islands,2014-15,554945.0
Andaman & Nicobar Islands,2015-16,602695.0
Andaman & Nicobar Islands,2016-17,679363.0
Andhra Pradesh,2011-12,34975303.0
Andhra Pradesh,2012-13,37947671.0
Andhra Pradesh,2013-14,42672201.0
Andhra Pradesh,2014-15,48770864.0
Andhra Pradesh,2015-16,55642062.0
Andhra Pradesh,2016-17,62450287.0
Arunachal Pradesh,2011-12,1085470.0
Arunachal Pradesh,2012-13,1240354.0
Arunachal Pradesh,2013-14,1427736.0
Arunachal Pradesh,2014-15,1753815.0
Arunachal Pradesh,2015-16,1795539.0
Arunachal Pradesh,2016-17,1905807.0
Assam,2011-12,13529020.0
Assam,2012-13,14860974.0
Assam,2013-14,16785025.0
Assam,2014-15,18429412.0
Assam,2015-16,21517442.0
Assam,2016-17,23731541.0
Bihar,2011-12,24169850.0
Bihar,2012-13,27669912.0
Bihar,2013-14,30668542.0
Bihar,2014-15,33519908.0
Bihar,2015-16,36415499.0
Bihar,2016-17,40845667.0
Chandigarh,2011-12,1873151.0
Chandigarh,2012-13,2156063.0
Chandigarh,2013-14,2461336.0
Chandigarh,2014-15,2636144.0
Chandigarh,2015-16,2866823.0
Chandigarh,2016-17,3179513.0
Chhattisgarh,2011-12,14842982.0
Chhattisgarh,2012-13,16613333.0
Chhattisgarh,2013-14,19542711.0
Chhattisgarh,2014-15,20906764.0
Chhattisgarh,2015-16,21371205.0
Chhattisgarh,2016-17,24154594.0
Delhi,2011-12,30323249.0
Delhi,2012-13,34258754.0
Delhi,2013-14,38593091.0
Delhi,2014-15,43424110.0
Delhi,2015-16,47878154.0
Delhi,2016-17,53117539.0
Goa,2011-12,3940566.0
Goa,2012-13,3487302.0
Goa,2013-14,3202361.0
Goa,2014-15,4319049.0
Goa,2015-16,4954923.0
Goa,2016-17,5681827.0
Gujarat,2011-12,55192107.0
Gujarat,2012-13,64515549.0
Gujarat,2013-14,72108295.0
Gujarat,2014-15,82423326.0
Gujarat,2015-16,91525289.0
Gujarat,2016-17,103915555.0
Haryana,2011-12,27407463.0
Haryana,2012-13,31989448.0
Haryana,2013-14,36756677.0
Haryana,2014-15,39991427.0
Haryana,2015-16,43933491.0
Haryana,2016-17,49144788.0
Himachal Pradesh,2011-12,6940278.0
Himachal Pradesh,2012-13,7890840.0
Himachal Pradesh,2013-14,8935770.0
Himachal Pradesh,2014-15,9733153.0
Himachal Pradesh,2015-16,10725675.0
Himachal Pradesh,2016-17,11749465.0
Jammu & Kashmir*,2011-12,7476073.0
Jammu & Kashmir*,2012-13,8308983.0
Jammu & Kashmir*,2013-14,9062373.0
Jammu & Kashmir*,2014-15,9311907.0
Jammu & Kashmir*,2015-16,11061385.0
Jammu & Kashmir*,2016-17,11820042.0
Jharkhand,2011-12,13912959.0
Jharkhand,2012-13,16082669.0
Jharkhand,2013-14,17253230.0
Jharkhand,2014-15,20079571.0
Jharkhand,2015-16,18687522.0
Jharkhand,2016-17,21187113.0
Karnataka,2011-12,55221364.0
Karnataka,2012-13,63155790.0
Karnataka,2013-14,74037344.0
Karnataka,2014-15,83131593.0
Karnataka,2015-16,94266872.0
Karnataka,2016-17,108339442.0
Kerala,2011-12,33629310.0
Kerala,2012-13,38128287.0
Kerala,2013-14,42910029.0
Kerala,2014-15,47180920.0
Kerala,2015-16,50913738.0
Kerala,2016-17,57024819.0
Madhya Pradesh,2011-12,30368859.0
Madhya Pradesh,2012-13,36641880.0
Madhya Pradesh,2013-14,41680964.0
Madhya Pradesh,2014-15,45620028.0
Madhya Pradesh,2015-16,50817506.0
Madhya Pradesh,2016-17,60761658.0
Maharashtra,2011-12,114441844.0
Maharashtra,2012-13,129504163.0
Maharashtra,2013-14,146896763.0
Maharashtra,2014-15,158693708.0
Maharashtra,2015-16,172048768.0
Maharashtra,2016-17,190848470.0
Manipur,2011-12,1272912.0
Manipur,2012-13,1372469.0
Manipur,2013-14,1583948.0
Manipur,2014-15,1786630.0
Manipur,2015-16,1903318.0
Manipur,2016-17,2043834.0
Meghalaya,2011-12,1892182.0
Meghalaya,2012-13,2073867.0
Meghalaya,2013-14,2184428.0
Meghalaya,2014-15,2202768.0
Meghalaya,2015-16,2287227.0
Meghalaya,2016-17,2467113.0
Mizoram,2011-12,743008.0
Mizoram,2012-13,851315.0
Mizoram,2013-14,1013407.0
Mizoram,2014-15,1334390.0
Mizoram,2015-16,1481422.0
Mizoram,2016-17,1668880.0
Nagaland,2011-12,1206676.0
Nagaland,2012-13,1401219.0
Nagaland,2013-14,1642062.0
Nagaland,2014-15,1824394.0
Nagaland,2015-16,1927233.0
Nagaland,2016-17,2124607.0
Odisha,2011-12,22023169.0
Odisha,2012-13,24916295.0
Odisha,2013-14,28044263.0
Odisha,2014-15,29520164.0
Odisha,2015-16,30450599.0
Odisha,2016-17,35497589.0
Puducherry,2011-12,1481201.0
Puducherry,2012-13,1647145.0
Puducherry,2013-14,1918901.0
Puducherry,2014-15,1979373.0
Puducherry,2015-16,2317605.0
Puducherry,2016-17,2574138.0
Punjab,2011-12,25377427.0
Punjab,2012-13,28083782.0
Punjab,2013-14,30832906.0
Punjab,2014-15,32877935.0
Punjab,2015-16,35315538.0
Punjab,2016-17,38618871.0
Rajasthan,2011-12,41698354.0
Rajasthan,2012-13,47206334.0
Rajasthan,2013-14,52334881.0
Rajasthan,2014-15,58364573.0
Rajasthan,2015-16,64296040.0
Rajasthan,2016-17,72197182.0
Sikkim,2011-12,1089210.0
Sikkim,2012-13,1196742.0
Sikkim,2013-14,1331690.0
Sikkim,2014-15,1484516.0
Sikkim,2015-16,1724275.0
Sikkim,2016-17,1959619.0
Tamil Nadu,2011-12,69302212.0
Tamil Nadu,2012-13,78477168.0
Tamil Nadu,2013-14,88778435.0
Tamil Nadu,2014-15,98284312.0
Tamil Nadu,2015-16,107641409.0
Tamil Nadu,2016-17,118379880.0
Telangana,2011-12,33605011.0
Telangana,2012-13,37526261.0
Telangana,2013-14,42172940.0
Telangana,2014-15,46649916.0
Telangana,2015-16,53033551.0
Telangana,2016-17,60018601.0
Tripura,2011-12,1879553.0
Tripura,2012-13,2128938.0
Tripura,2013-14,2503940.0
Tripura,2014-15,2886502.0
Tripura,2015-16,3472325.0
Tripura,2016-17,3772986.0
Uttar Pradesh,2011-12,69491448.0
Uttar Pradesh,2012-13,79274505.0
Uttar Pradesh,2013-14,90662069.0
Uttar Pradesh,2014-15,97413900.0
Uttar Pradesh,2015-16,109207358.0
Uttar Pradesh,2016-17,123806368.0
Uttarakhand,2011-12,10833283.0
Uttarakhand,2012-13,12374880.0
