state,year,value
Andaman & Nicobar Islands,2011-12,340362.0
Andaman & Nicobar Islands,2012-13,379305.0
Andaman & Nicobar Islands,2013-14,428798.0
Andaman & Nicobar Islands,2014-15,491480.0
Andaman & Nicobar Islands,2015-16,535919.0
Andaman & Nicobar Islands,2016-17,604844.0
Andhra Pradesh,2011-12,33999552.0
Andhra Pradesh,2012-13,37019606.0
Andhra Pradesh,2013-14,41316364.0
Andhra Pradesh,2014-15,47093381.0
Andhra Pradesh,2015-16,54482724.0
Andhra Pradesh,2016-17,61234875.0
Arunachal Pradesh,2011-12,1022946.0
Arunachal Pradesh,2012-13,1161723.0
Arunachal Pradesh,2013-14,1337657.0
Arunachal Pradesh,2014-15,1649517.0
Arunachal Pradesh,2015-16,1698623.0
Arunachal Pradesh,2016-17,1820978.0
Assam,2011-12,12935412.0
Assam,2012-13,14203946.0
Assam,2013-14,16044153.0
Assam,2014-15,17284890.0
Assam,2015-16,20130880.0
Assam,2016-17,22239651.0
Bihar,2011-12,22849744.0
Bihar,2012-13,26132682.0
Bihar,2013-14,29214273.0
Bihar,2014-15,31573235.0
Bihar,2015-16,34011899.0
Bihar,2016-17,38687949.0
Chandigarh,2011-12,1692997.0
Chandigarh,2012-13,1950739.0
Chandigarh,2013-14,2230818.0
Chandigarh,2014-15,2366174.0
Chandigarh,2015-16,2599100.0
Chandigarh,2016-17,2888105.0
Chhattisgarh,2011-12,14227342.0
Chhattisgarh,2012-13,15943142.0
Chhattisgarh,2013-14,18604961.0
Chhattisgarh,2014-15,19731366.0
Chhattisgarh,2015-16,20065317.0
Chhattisgarh,2016-17,23264013.0
Delhi,2011-12,31465002.0
Delhi,2012-13,35740011.0
Delhi,2013-14,40484101.0
Delhi,2014-15,44848665.0
Delhi,2015-16,50052365.0
Delhi,2016-17,55854560.0
Goa,2011-12,3800855.0
Goa,2012-13,3456727.0
Goa,2013-14,3204278.0
Goa,2014-15,4323309.0
Goa,2015-16,5035370.0
Goa,2016-17,5744925.0
Gujarat,2011-12,53280946.0
