state,ger,life_expectancy,unemployment_rate,cd_ratio,per_capita_power,td_losses,road_density,factory_density,msme_density,manufacturing_share,investment_rate
Andaman & Nicobar Islands,0.6937499999999999,,,0.2754325259515571,,0.49582172701949856,0.11651858619026252,0.011019566321230112,0.4311627253038598,0.004304939100800926,0.0033613438101093122
Andhra Pradesh,0.528125,0.5588235294117648,0.6597938144329897,1.0,0.08097703531461407,0.8022284122562674,0.07613836518229217,0.554227064562602,0.6612322474686644,0.28571034077165164,0.36602979088229004
Arunachal Pradesh,0.1875,,0.22164948453608246,0.13494809688581316,0.02369528412563489,0.0,1.0,0.203923478853788,0.11962739152381675,0.036490278732902184,0.049762818128566734
Assam,0.26249999999999996,0.4117647058823531,0.5773195876288659,0.36885813148788926,0.0019178216917575825,0.7075208913649025,0.3560971731730965,0.2887816191887699,0.2587034488669321,0.3067278995242358,0.3449245413163354
Bihar,0.0,0.617647058823529,0.6288659793814433,0.2823529411764706,0.0010537481822843857,0.4791086350974929,0.046357082195367105,0.0,0.15315736247617293,0.21575607102891134,0.27398099389814845
Chandigarh,1.0,,0.4072164948453608,0.4311418685121107,0.08710282474762732,0.7520891364902507,0.03841562334378502,0.31432442770661106,0.5627387637623013,0.06747044005749528,0.035822760141371986
Chhattisgarh,0.32656249999999987,0.0,0.6701030927835052,0.48788927335640137,0.07627029343374382,0.5793871866295264,0.08668324233699218,0.29565605466636147,0.2945823846889298,0.4312955253702394,0.43365990118715153
Dadra & Nagar Haveli and Daman & Diu,0.6515625,,0.9020618556701031,0.2726643598615917,1.0,,,,,,
Delhi,0.734375,1.0,0.7268041237113403,0.5217993079584774,0.10039410182017436,0.8746518105849582,0.0,0.20968889822253456,0.595952299763168,0.10196409622594967,0.03566193124835341
Goa,0.8765624999999999,,0.25773195876288657,0.11003460207612459,0.21698080070811876,1.0,0.3385675257388399,0.8291373006792899,0.7831181880855729,1.0,0.6875796789754528
Gujarat,0.25468749999999996,0.4509803921568635,1.0,0.5238754325259516,0.12432823553379369,0.7827298050139275,0.0850833417578245,0.8901520136085289,0.505377156420334,0.9918983971077382,0.9302391292414992
Haryana,0.5671875,0.3431372549019607,0.7731958762886598,0.43944636678200694,0.1380129119277269,0.6740947075208914,0.0285820173559877,0.6429517843127607,0.5714342043993833,0.5185419162606961,0.5888538709812672
Himachal Pradesh,0.7640624999999999,0.6960784313725497,0.41752577319587625,0.18339100346020765,0.10354129639126373,0.8022284122562674,0.2500788889371506,0.6629795216345931,0.31034115354394237,0.7569181544949141,0.43472522598192753
Jammu & Kashmir,0.1640625,0.9901960784313731,0.2938144329896907,0.33148788927335643,0.08087868548426755,,0.2386216475739699,0.094371678428927,0.5113250836162658,0.16671032751613352,0.07476545057559374
Jharkhand,0.24843749999999998,0.6568627450980393,0.8144329896907216,0.19653979238754327,0.0034914189773022674,0.5571030640668524,0.039152825407332885,0.09422261141063008,0.2284099865018741,0.5702536854074852,0.3797520582744046
Karnataka,0.5718749999999999,0.46078431372549034,0.8247422680412371,0.4145328719723183,0.07224497537741749,0.7437325905292479,0.13969246015478934,0.39344860790040054,0.664495801270171,0.3600178555121348,0.25575544076646406
Kerala,0.7718749999999999,0.8725490196078435,0.4020618556701031,0.402076124567474,0.03873578318077401,0.8217270194986073,0.19267544382658996,0.3709347080432056,0.3817362416309596,0.22901990253012916,0.0992389527402912
Ladakh,0.40156250000000004,,0.24742268041237114,0.21799307958477512,,,,0.14077396599936032,0.5866938593257093,0.01868921997893721,0.02038051158797979
Lakshadweep,0.3218749999999999,,0.0,0.0,0.04816331691827832,0.807799442896936,,,,,
Madhya Pradesh,0.1875,0.2450980392156862,0.9690721649484536,0.47750865051903113,0.060534320578296996,0.5738161559888579,0.10386309165067929,0.06524765375864702,0.43449836468867115,0.21271809586684987,0.255634927294901
Maharashtra,0.5843749999999999,0.7843137254901958,0.7577319587628866,0.5051903114186851,0.08818467288143929,0.7855153203342617,0.12057338242821618,0.370708293479167,0.7473104572366844,0.4274373819111286,0.38275754121345423
Manipur,0.375,,0.4690721649484536,0.46366782006920415,0.0,0.6016713091922006,0.2816783705879227,0.10041754568172093,0.4284865965658511,0.03286426578223649,0.009570251776301143
Meghalaya,0.27812499999999996,,0.15463917525773196,0.19377162629757788,0.019515416335906827,0.5821727019498606,0.37095387564677285,0.060914675804970835,0.0,0.23328189617831582,0.33298166525051026
Mizoram,0.453125,,0.8969072164948454,0.27058823529411763,0.016796746025613107,0.6768802228412256,0.4492063261534561,0.2795130755731012,0.2630203853336945,0.0,0.0
Nagaland,0.09062499999999996,,0.2628865979381443,0.2823529411764706,0.006203064299714084,0.6267409470752089,0.48533323698682057,0.12193396166112655,0.14927469539996108,0.012431362568296132,0.006202610423181454
Odisha,0.4312499999999999,0.6274509803921573,0.654639175257732,0.2650519031141868,0.04155280332141427,0.6044568245125348,0.1731075322534005,0.0891738060194021,0.3884231279867241,0.5062357475382097,1.0
Puducherry,0.815625,,0.7061855670103092,0.4283737024221453,0.12507288424927468,0.7910863509749304,0.07771010376234576,0.8874960108909083,0.5743551890617821,0.629158702846524,0.6154153207679204
Punjab,0.6453125,0.6372549019607842,0.5721649484536082,0.3363321799307958,0.15275836149182642,0.8022284122562674,0.11367730924542994,0.7691099475107347,0.5659938353356689,0.46142318691072,0.5081529057121389
Rajasthan,0.4609375,0.42156862745098,0.5773195876288659,0.5640138408304498,0.0742822218631673,0.6323119777158774,0.07392001847849523,0.21755978000527168,0.422059952717891,0.3094221870183253,0.35997909848048754
Sikkim,0.2421875,,0.8711340206185567,0.21522491349480968,0.03450674047587268,0.42618384401114195,0.5147570359165048,0.20159907687351009,0.3941469300062956,0.98259213992622,0.08893358492296241
Tamil Nadu,0.6984375,0.7647058823529407,0.768041237113402,0.7460207612456747,0.09573653485447739,0.7715877437325904,0.08185489483919467,1.0,0.7507142146253221,0.5114728356448184,0.4612607178877154
Telangana,0.6078124999999999,0.5588235294117648,0.5824742268041236,0.7460207612456747,0.1388980604008458,0.8579387186629527,0.08683168766471168,0.6595299074426124,1.0,0.24839851384916237,0.2691827218602084
Tripura,0.359375,,0.9020618556701031,0.2262975778546713,0.00946968366479568,0.3955431754874651,0.2326528860172076,0.28880771169533165,0.6989294018533908,0.06408943168053402,0.018667421411751903
Uttar Pradesh,0.25312499999999993,0.2647058823529414,0.6804123711340206,0.28581314878892733,0.025521780974927823,0.6155988857938719,0.03375030659259064,0.13608106561540367,0.18636939519974918,0.3058495712059362,0.29400642499783014
Uttarakhand,0.6624999999999999,0.46078431372549034,0.6391752577319587,0.21314878892733566,0.07687444239158689,0.6852367688022285,0.140298441271493,0.4501002407843935,0.43099964799462936,0.7342819398898306,0.4745744587414545
West Bengal,0.4765625,0.774509803921569,0.8505154639175257,0.28788927335640135,0.027053228333181127,0.6908077994428969,0.06161405684801636,0.15195655700548502,0.4077952292911497,0.3693325468089164,0.209580869040534
